X_m,Pressure_Pa
1.64829761e-01,1.43871396e+04
1.65330768e-01,1.42632295e+04
1.65831774e-01,1.41393203e+04
1.66332781e-01,1.40154102e+04
1.66833788e-01,1.38915010e+04
1.67334795e-01,1.37675928e+04
1.67835802e-01,1.36497949e+04
1.68336809e-01,1.35331289e+04
1.68837816e-01,1.34164648e+04
1.69338822e-01,1.32997988e+04
1.69839829e-01,1.31831318e+04
1.70340836e-01,1.30702900e+04
1.70841843e-01,1.29595205e+04
1.71342850e-01,1.28487520e+04
1.71843857e-01,1.27379824e+04
1.72344863e-01,1.26288945e+04
1.72845870e-01,1.25224131e+04
1.73346877e-01,1.24159316e+04
1.73847884e-01,1.23094492e+04
1.74348891e-01,1.22060117e+04
1.74849898e-01,1.21029063e+04
1.75350904e-01,1.19998613e+04
1.75851911e-01,1.18993359e+04
1.76352918e-01,1.17988125e+04
1.76853925e-01,1.16982754e+04
1.77354932e-01,1.15977305e+04
1.77855939e-01,1.15304590e+04
1.78356946e-01,1.14796035e+04
